City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Padang,ID,-0.9492,100.3543,78.85,87,99,2.89,overcast clouds
209,Ajdabiya,LY,30.7554,20.2263,56.12,64,12,8.37,few clouds
210,Lincoln,US,40.8,-96.667,32.0,44,0,19.57,clear sky
211,Marsh Harbour,BS,26.5412,-77.0636,80.28,70,0,25.66,clear sky
212,Hermiston,US,45.8404,-119.2895,62.62,58,0,3.44,clear sky
213,Thinadhoo,MV,0.5333,72.9333,83.62,67,18,10.22,few clouds
214,Hay River,CA,60.8156,-115.7999,0.97,90,100,10.29,overcast clouds
215,Aksu,CN,41.1231,80.2644,53.94,26,67,5.19,broken clouds
216,Cayenne,GF,4.9333,-52.3333,76.08,26,100,6.91,heavy intensity rain
217,Ahipara,NZ,-35.1667,173.1667,66.88,90,98,4.32,overcast clouds
218,Poronaysk,RU,49.2167,143.1167,9.79,98,91,2.82,overcast clouds
219,Norrkoping,SE,58.5942,16.1826,45.59,56,76,4.61,broken clouds
220,Morro Bay,US,35.3658,-120.8499,71.51,49,0,8.01,clear sky
221,Abu Samrah,SY,35.3029,37.1841,38.68,89,88,7.49,overcast clouds
222,Naqadeh,IR,36.9553,45.388,31.51,68,4,5.5,clear sky
223,Yulara,AU,-25.2406,130.9889,71.49,21,31,8.46,scattered clouds
224,Kamennogorsk,RU,60.9545,29.1339,32.22,98,100,3.29,overcast clouds
225,Batemans Bay,AU,-35.7167,150.1833,64.09,90,73,3.62,broken clouds
226,Vostok,RU,46.4856,135.8833,12.51,96,100,3.83,overcast clouds
227,Gaoual,GN,11.75,-13.2,104.5,7,1,8.86,clear sky
228,Jalu,LY,29.0331,21.5482,59.07,39,0,7.16,clear sky
229,Ocampo,MX,21.65,-101.5,60.12,42,1,14.09,clear sky
230,Vredefort,ZA,-27.0081,27.3646,69.66,56,70,7.61,broken clouds
231,Ucluelet,CA,48.9329,-125.5528,44.1,92,100,1.99,light rain
232,Smithers,CA,54.7804,-127.1743,34.88,83,62,1.83,broken clouds
233,Arvika,SE,59.6553,12.5852,41.61,88,17,2.28,few clouds
234,Caborca,MX,30.5838,-111.101,69.62,12,59,5.59,broken clouds
235,Najran,SA,17.4924,44.1277,74.12,11,8,4.29,clear sky
236,Zavet,BG,43.7667,26.6667,25.83,71,98,3.89,overcast clouds
237,Coromandel,BR,-18.4733,-47.2003,81.0,54,86,4.16,moderate rain
238,Champerico,GT,14.3,-91.9167,91.94,58,4,16.06,clear sky
239,Carnarvon,AU,-24.8667,113.6333,76.32,74,4,17.65,clear sky
240,Montepuez,MZ,-13.1256,38.9997,70.27,98,100,2.66,moderate rain
241,Orcopampa,PE,-15.2661,-72.3417,53.85,68,100,7.92,overcast clouds
242,Salalah,OM,17.0151,54.0924,75.34,55,39,2.35,scattered clouds
243,Tandil,AR,-37.3217,-59.1332,76.62,25,11,5.26,few clouds
244,Clyde River,CA,70.4692,-68.5914,-16.37,69,75,4.61,broken clouds
245,Arman,RU,59.7,150.1667,13.15,78,100,8.57,overcast clouds
246,Buchanan,LR,5.8808,-10.0467,83.37,72,98,7.11,overcast clouds
247,Ville-Marie,CA,47.3335,-79.433,16.3,79,75,11.72,broken clouds
248,Bilma,NE,18.6853,12.9164,74.84,11,11,10.4,few clouds
249,Henties Bay,NA,-22.116,14.2845,66.54,89,85,6.22,overcast clouds
250,Anadyr,RU,64.75,177.4833,1.9,71,0,6.71,clear sky
251,Ostersund,SE,63.1792,14.6357,41.45,30,0,11.5,clear sky
252,Fairbanks,US,64.8378,-147.7164,-0.13,87,3,4.97,clear sky
253,Antofagasta,CL,-23.65,-70.4,73.22,59,4,9.13,clear sky
